step,candidate_id,eutt,ebs,total_error,mean_jaccard_distance,Ltrain,Ldev,Leval
0,0,0.01075203865901539,0.0048155974505945665,0.015567636109609956,0.0,11;12;13;21;25;26;31;33;34,14;22;23;32,15;16;24;35;36
1,177,0.0488070069465418,0.016783994161066906,0.06559100110760871,0.9111111111111111,11;12;13;14;15;16;21;23;32;35,24;25;31;34;36,22;26;33
2,141,0.026819691935971085,0.03500252114709146,0.061822213083062544,0.8412698412698413,11;12;13;14;16;24;26;33;35;36,15;21;22,23;25;31;32;34
3,237,0.028752642706131065,0.04120308458281413,0.0699557272889452,0.8144586894586894,11;12;14;15;23;25;26;31;34;36,13;16;24;33,21;22;32;35
4,244,0.025007550588945993,0.04591179056717437,0.07091934115612036,0.7940666971916972,11;12;13;15;21;23;24;31;32;33;34,22;26;35;36,14;16;25
5,828,0.04941105406221688,0.04848640825048417,0.09789746231270105,0.7811355311355311,11;12;13;14;22;26;32;35;36,15;23;25;33,16;21;24;31;34
6,154,0.023437028088190842,0.04002197304615884,0.06345900113434969,0.7823921448921448,11;13;15;21;23;24;26;32;34;35,14;16;25;31,12;22;33;36
7,310,0.03116883116883115,0.04511796025384268,0.07628679142267383,0.7741133205418921,11;12;14;16;21;23;26;31;33;36,13;22;32;34;35,15;24;25
8,440,0.04131682271217163,0.0421058922443564,0.08342271495652803,0.7671881359381358,11;13;14;16;21;25;26;31;35,15;24;32;33;34;36,12;22;23
9,497,0.03696768347931137,0.04868521495826228,0.08565289843757365,0.7599630307963641,11;14;15;21;23;24;26;31;32;34;35;36,12;22;33,13;16;25
10,111,0.0085774690425853,0.049289961796979975,0.057867430839565276,0.7643174880674881,11;12;13;14;21;25;32;33;34,16;23;24;35;36,15;22;26;31
11,315,0.031772878284506145,0.04521517119082791,0.07698804947533405,0.7648046398046398,11;12;13;15;21;23;24;31;32;36,16;25;26,14;22;33;34;35
12,50,0.03877982482633646,0.008776203276200989,0.04755602810253745,0.7609898589065255,11;12;13;14;15;16;24;26;34;35,21;22;31,23;25;32;33;36
13,200,0.02826940501359107,0.038911560974705495,0.06718096598829656,0.7516260448952756,11;12;13;15;23;25;26;33;36,14;16;24;32;35,21;22;31;34
14,544,0.0396254907882814,0.04753658612612177,0.08716207691440317,0.7596821168249738,11;12;13;21;22;26;31;32,15;23;25;34;36,14;16;24;33;35
