step,candidate_id,eutt,ebs,total_error,mean_jaccard_distance,Ltrain,Ldev,Leval
0,0,0.00023995200959808782,0.006236878411424174,0.006476830421022262,0.0,1;2;5;6;7;8;10;11;12;13;14;15;17;18;19;22;23;26;27;28;33;34;36;38;39;44;46;47;49,3;9;20;21;31;32;35;42;43;48,4;16;24;25;29;30;37;41;45;50
1,2220,0.025314937012597433,0.010384312713695998,0.03569924972629343,0.9219858156028368,2;3;6;9;13;14;15;16;20;21;24;25;27;28;29;30;31;35;37;38;39;41;42;43;44;45;48;49;50,1;4;5;7;8;17;22;26;36;46,10;11;12;18;19;23;32;33;34;47
2,6385,0.03515296940611881,0.01175126725707748,0.04690423666319629,0.8827461607949414,1;2;3;4;6;8;9;10;11;12;16;17;18;19;20;23;25;26;28;31;32;34;35;36;43;45;46;47;48,14;24;29;30;33;37;39;41;49;50,5;7;13;15;21;22;27;38;42;44
3,6536,0.01583683263347324,0.03135081290130365,0.04718764553477689,0.8522063761687212,3;4;5;7;9;11;12;13;14;18;20;22;23;24;25;26;29;30;31;32;33;34;36;37;42;43;44;46;47,10;15;16;19;21;27;35;38;45;50,1;2;6;8;17;28;39;41;48;49
4,23213,0.020455908818236362,0.045456738819425746,0.06591264763766211,0.8368237512974355,1;4;5;7;8;9;11;15;16;17;19;21;22;24;25;26;29;30;33;36;38;39;41;42;43;45;47;49;50,6;12;18;20;23;28;31;34;37;44,2;3;10;13;14;27;32;35;46;48
5,8167,0.02207558488302344,0.027740967906509928,0.04981655278953337,0.8239918896100047,4;5;6;8;10;14;15;16;17;21;22;24;26;27;29;30;31;32;34;37;39;41;42;43;44;45;46;48;49,2;7;11;12;13;19;25;33;38;47,1;3;9;18;20;23;28;35;36;50
6,24526,0.038812237552489526,0.02805252613547754,0.06686476368796707,0.8167516450522186,1;2;3;5;7;10;11;12;13;14;15;20;22;23;24;27;28;30;32;35;36;38;39;41;42;44;45;48;50,4;6;9;16;17;18;25;29;46;49,8;19;21;26;31;33;34;37;43;47
7,2752,0.019436112777444503,0.0182872719224918,0.0377233846999363,0.8117684212420027,1;2;3;6;7;9;10;11;12;13;16;17;18;19;21;22;26;27;31;32;33;34;35;37;41;46;48;49;50,5;8;23;24;25;28;30;38;43;45,4;14;15;20;29;36;39;42;44;47
8,36740,0.043731253749250076,0.031071148215309208,0.07480240196455928,0.8117231718091935,1;2;3;5;8;10;14;17;18;19;20;21;25;27;28;29;31;32;33;35;36;37;38;39;42;43;44;49;50,4;7;13;15;23;30;34;41;47;48,6;9;11;12;16;22;24;26;45;46
9,27564,0.031373725254949025,0.03760519276518254,0.06897891802013156,0.8071763684360149,1;3;4;6;9;15;16;18;19;20;21;23;24;26;27;29;30;31;33;34;35;36;37;39;45;46;47;48;50,2;5;11;12;22;28;32;41;42;44,7;8;10;13;14;17;25;38;43;49
10,37386,0.035212957408518236,0.03994858480636437,0.07516154221488261,0.8035117153923844,3;4;7;8;12;14;15;16;17;18;21;22;23;25;28;29;31;32;33;34;37;38;41;42;45;46;48;49;50,1;6;10;11;26;27;35;36;39;47,2;5;9;13;19;20;24;30;43;44
11,37668,0.04781043791241754,0.027524911987322487,0.07533534989974003,0.8016076095459851,2;5;6;7;8;9;10;11;12;15;16;17;20;21;23;25;26;28;29;30;34;35;36;41;44;47;48;49;50,3;13;14;18;19;22;24;32;39;43,1;4;27;31;33;37;38;42;45;46
12,4486,0.030773845230953806,0.011980363722255916,0.04275420895320972,0.800441878638353,2;4;5;11;12;13;14;17;18;19;20;22;23;24;27;28;30;31;33;34;35;36;38;41;43;44;45;46;47,8;9;10;15;26;29;37;42;49;50,1;3;6;7;16;21;25;32;39;48
13,17891,0.021175764847030654,0.04012586917171718,0.06130163401874783,0.8002896346021016,1;3;4;6;7;8;9;10;11;12;13;18;19;20;21;28;29;30;32;34;36;37;39;42;43;45;47;48;49,2;14;16;17;24;27;31;33;38;44,5;15;22;23;25;26;35;41;46;50
14,23482,0.033173365326934684,0.03292623232923908,0.06609959765617376,0.7971057020204654,1;2;4;5;6;7;10;11;13;16;19;21;23;24;25;27;28;29;31;33;35;37;38;41;43;44;46;47;50,8;9;15;20;32;36;39;42;45;48,3;12;14;17;18;22;26;30;34;49
